,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Channel,Date,Start time,Programme Title,End time,Dur min,'000 (U/W) Children,Share Children,TVR Children,'000 (U/W) 55+ Adults,Share 55+ Adults,TVR 55+ Adults,'000 (U/W) 16-34 Adults,Share 16-34 Adults,TVR 16-34 Adults,'000 (U/W) 45-54 Adults,Share 45-54 Adults,TVR 45-54 Adults,'000 (U/W) 16-44 Adults,Share 16-44 Adults,TVR 16-44 Adults
1391,tt0093493,mannequin,Mannequin,1987,1987-09-25,"Comedy, Fantasy, Romance",90.0,USA,English,Michael Gottlieb,"Edward Rugoff, Michael Gottlieb",Gladden Entertainment,"Andrew McCarthy, Kim Cattrall, Estelle Getty, James Spader, G.W. Bailey, Carole Davis, Steve Vinovich, Christopher Maher, Meshach Taylor, Phyllis Newman, Phil Rubenstein, Jeffrey Lampert, Kenneth Lloyd, Jake Jundef, Harvey Levine","A young artist, searching for his vocation, makes a mannequin so perfect he falls in love with it. Finding the mannequin in a store window, he gets a job there and his creation comes to life.",5.9,28546.0,$ 6000000,$ 42721196,$ 42721196,21.0,122.0,31.0,Channel 5,13/10/2013,13:57:50,mannequin,15:38:00,100.0,68.3,4.8509,0.79428,293.4,5.817,1.66713,103.9,3.9304,0.70441,135.0,6.4081,1.53776,219.5,5.128,0.96103
1392,tt0093493,mannequin,Mannequin,1987,1987-09-25,"Comedy, Fantasy, Romance",90.0,USA,English,Michael Gottlieb,"Edward Rugoff, Michael Gottlieb",Gladden Entertainment,"Andrew McCarthy, Kim Cattrall, Estelle Getty, James Spader, G.W. Bailey, Carole Davis, Steve Vinovich, Christopher Maher, Meshach Taylor, Phyllis Newman, Phil Rubenstein, Jeffrey Lampert, Kenneth Lloyd, Jake Jundef, Harvey Levine","A young artist, searching for his vocation, makes a mannequin so perfect he falls in love with it. Finding the mannequin in a store window, he gets a job there and his creation comes to life.",5.9,28546.0,$ 6000000,$ 42721196,$ 42721196,21.0,122.0,31.0,Channel 5,08/06/2014,17:12:36,mannequin,18:54:08,101.0,80.8,6.8186,0.92364,214.5,3.0374,1.20532,183.0,6.6288,1.21667,142.8,5.487,1.6101,388.8,8.6819,1.6742
1393,tt0093493,mannequin,Mannequin,1987,1987-09-25,"Comedy, Fantasy, Romance",90.0,USA,English,Michael Gottlieb,"Edward Rugoff, Michael Gottlieb",Gladden Entertainment,"Andrew McCarthy, Kim Cattrall, Estelle Getty, James Spader, G.W. Bailey, Carole Davis, Steve Vinovich, Christopher Maher, Meshach Taylor, Phyllis Newman, Phil Rubenstein, Jeffrey Lampert, Kenneth Lloyd, Jake Jundef, Harvey Levine","A young artist, searching for his vocation, makes a mannequin so perfect he falls in love with it. Finding the mannequin in a store window, he gets a job there and his creation comes to life.",5.9,28546.0,$ 6000000,$ 42721196,$ 42721196,21.0,122.0,31.0,Channel 5,15/06/2014,13:13:20,mannequin,14:52:48,99.0,30.4,3.145,0.34751,80.6,2.2513,0.45291,41.0,2.562,0.27259,59.1,3.8384,0.66637,68.0,2.5822,0.29281
1394,tt0093493,mannequin,Mannequin,1987,1987-09-25,"Comedy, Fantasy, Romance",90.0,USA,English,Michael Gottlieb,"Edward Rugoff, Michael Gottlieb",Gladden Entertainment,"Andrew McCarthy, Kim Cattrall, Estelle Getty, James Spader, G.W. Bailey, Carole Davis, Steve Vinovich, Christopher Maher, Meshach Taylor, Phyllis Newman, Phil Rubenstein, Jeffrey Lampert, Kenneth Lloyd, Jake Jundef, Harvey Levine","A young artist, searching for his vocation, makes a mannequin so perfect he falls in love with it. Finding the mannequin in a store window, he gets a job there and his creation comes to life.",5.9,28546.0,$ 6000000,$ 42721196,$ 42721196,21.0,122.0,31.0,ITV,13/12/2014,14:05:38,mannequin,15:44:12,98.0,36.1,2.8991,0.41409,214.3,5.1796,1.2009,64.3,4.3712,0.42875,71.6,4.4045,0.80749,116.4,4.4584,0.50425
1395,tt0093493,mannequin,Mannequin,1987,1987-09-25,"Comedy, Fantasy, Romance",90.0,USA,English,Michael Gottlieb,"Edward Rugoff, Michael Gottlieb",Gladden Entertainment,"Andrew McCarthy, Kim Cattrall, Estelle Getty, James Spader, G.W. Bailey, Carole Davis, Steve Vinovich, Christopher Maher, Meshach Taylor, Phyllis Newman, Phil Rubenstein, Jeffrey Lampert, Kenneth Lloyd, Jake Jundef, Harvey Levine","A young artist, searching for his vocation, makes a mannequin so perfect he falls in love with it. Finding the mannequin in a store window, he gets a job there and his creation comes to life.",5.9,28546.0,$ 6000000,$ 42721196,$ 42721196,21.0,122.0,31.0,ITV,10/05/2015,15:09:24,mannequin,16:46:29,97.0,29.9,2.2446,0.34269,230.9,5.0295,1.28478,37.4,1.9078,0.25498,97.7,4.9556,1.10234,98.6,3.0676,0.43423
1396,tt0093493,mannequin,Mannequin,1987,1987-09-25,"Comedy, Fantasy, Romance",90.0,USA,English,Michael Gottlieb,"Edward Rugoff, Michael Gottlieb",Gladden Entertainment,"Andrew McCarthy, Kim Cattrall, Estelle Getty, James Spader, G.W. Bailey, Carole Davis, Steve Vinovich, Christopher Maher, Meshach Taylor, Phyllis Newman, Phil Rubenstein, Jeffrey Lampert, Kenneth Lloyd, Jake Jundef, Harvey Levine","A young artist, searching for his vocation, makes a mannequin so perfect he falls in love with it. Finding the mannequin in a store window, he gets a job there and his creation comes to life.",5.9,28546.0,$ 6000000,$ 42721196,$ 42721196,21.0,122.0,31.0,Channel 5,18/10/2015,12:04:00,mannequin,13:43:49,99.0,30.9,2.8403,0.35339,107.9,2.7585,0.59848,84.5,4.6137,0.58324,43.5,2.9165,0.49069,132.6,4.3555,0.59086
1397,tt0093493,mannequin,Mannequin,1987,1987-09-25,"Comedy, Fantasy, Romance",90.0,USA,English,Michael Gottlieb,"Edward Rugoff, Michael Gottlieb",Gladden Entertainment,"Andrew McCarthy, Kim Cattrall, Estelle Getty, James Spader, G.W. Bailey, Carole Davis, Steve Vinovich, Christopher Maher, Meshach Taylor, Phyllis Newman, Phil Rubenstein, Jeffrey Lampert, Kenneth Lloyd, Jake Jundef, Harvey Levine","A young artist, searching for his vocation, makes a mannequin so perfect he falls in love with it. Finding the mannequin in a store window, he gets a job there and his creation comes to life.",5.9,28546.0,$ 6000000,$ 42721196,$ 42721196,21.0,122.0,31.0,ITV,25/08/2019,14:05:30,mannequin,15:44:04,98.0,9.7,2.3705,0.10325,130.5,3.3824,0.65413,19.0,2.0417,0.13346,38.4,3.4058,0.43691,64.3,4.004,0.28984
1414,tt0094291,wall street,Wall Street,1987,1988-02-05,"Crime, Drama",126.0,USA,English,Oliver Stone,"Stanley Weiser, Oliver Stone",Twentieth Century Fox,"Charlie Sheen, Tamara Tunie, Franklin Cover, Chuck Pfeiffer, John C. McGinley, Hal Holbrook, James Karen, Leslie Lyles, Michael Douglas, Faith Geer, Frank Adonis, John Capodice, Martin Sheen, Suzen Murakoshi, Dani Klein","A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.",7.4,140858.0,$ 15000000,$ 43848069,$ 43848069,56.0,237.0,118.0,CH4,03/10/2014,24:35:00,wall street,26:36:57,121.0,5.7,3.4799,0.06548,35.6,3.483,0.19982,12.8,1.492,0.08552,25.2,3.0497,0.28458,43.1,3.0303,0.18707
1417,tt0094819,buster,Buster,1988,1988-12-01,"Comedy, Crime, Drama",91.0,UK,"English, Spanish",David Green,Colin Shindler,The Movie Group,"Phil Collins, Julie Walters, Larry Lamb, Stephanie Lawrence, Ellie Beaven, Michael Attwell, Ralph Brown, Christopher Ellison, Sheila Hancock, Martin Jarvis, Clive Wood, Anthony Quayle, Michael Byrne, Harold Innocent, Rupert Vansittart","Based on the story of Ronald Christopher ""Buster"" Edwards (Phil Collins), one of the thieves involved in ""The Great Train Robbery"" of 1963.",5.8,3216.0,,$ 540000,$ 540000,,28.0,7.0,BBC 1,26/01/2013,24:15:35,buster,25:46:39,91.0,22.4,8.9207,0.26443,266.0,14.1897,1.5235,109.6,7.4431,0.7424,173.2,14.32,1.98647,190.3,7.895,0.82743
1418,tt0094819,buster,Buster,1988,1988-12-01,"Comedy, Crime, Drama",91.0,UK,"English, Spanish",David Green,Colin Shindler,The Movie Group,"Phil Collins, Julie Walters, Larry Lamb, Stephanie Lawrence, Ellie Beaven, Michael Attwell, Ralph Brown, Christopher Ellison, Sheila Hancock, Martin Jarvis, Clive Wood, Anthony Quayle, Michael Byrne, Harold Innocent, Rupert Vansittart","Based on the story of Ronald Christopher ""Buster"" Edwards (Phil Collins), one of the thieves involved in ""The Great Train Robbery"" of 1963.",5.8,3216.0,,$ 540000,$ 540000,,28.0,7.0,BBC 2,20/06/2014,23:06:30,buster,24:37:34,91.0,2.6,0.5459,0.02972,224.2,6.457,1.25983,40.0,1.8694,0.26594,72.3,3.4638,0.8152,103.3,2.844,0.44482
